1TD351, Högprestandaberäkningar och programmering, High Performance Computing and Programming, 5.0 hp
1TT477, Högprestandaberäkningar och programmering I, High Performance Computing and Programming I, 6.0 hp
1TD369, Högprestandaberäkningar och programmering NV1, High Performance Computing and Programming, 7.5 hp
1TD379, Högprestandaberäkningar och programmering NV1, High Performance Computing and Programming NV1, 7.5 hp
1TD062, Högprestandaprogrammering, High Performance Programming, 10.0 hp
1DT655, Högpresterande datorsystem HPB, High Performance Computer Systems HPB, 7.5 hp
1IT160, IT i samhället, IT and Society, 15.0 hp
1DT012, IT i samhället, IT and Society, 15.0 hp
1MD004, IT, etik och organisation, IT, Ethics and Organisation, 5.0 hp
1TS230, IT-system och människor i samspel, Information Technology and Users, 7.5 hp
1MD017, IT-system och människor i samspel, IT Systems and Human Factors, 5.0 hp
1MD033, Icke-exkluderande design och utvärdering, Non-Excluding Design and Evaluation, 15.0 hp
1DL220, Imperativ och objektorienterad programmering, Imperative and Object-Oriented Programming, 10.0 hp
1DL221, Imperativ och objektorienterad programmeringsmetodik, Imperative and Object-Oriented Programming Methodology, 20.0 hp
1DL126, Imperativ programmering, Imperative programming, 4.5 hp
1TT901, Inbyggda styrsystem, Embedded Control Systems, 12.0 hp
1RT910, Inbyggda styrsystem, projekt, Embedded Control Systems, Project, 10.0 hp
1RT911, Inbyggda styrsystem, projekt, Embedded Control Systems, Project, 15.0 hp
1DL471, Informationshanteringssystem, Information Management Systems, 10.0 hp
1DL470, Informationshanteringssystem (LIMS), Laboratory Information Management Systems, 5.0 hp
1IT012, Informationsteknologi, Information Technology IT, 7.5 hp
1DT031, Informationsteknologi, Information Technology, 10.0 hp
1DT006, Informationsteknologi, Information Technology, 7.5 hp
1IT011, Informationsteknologi, Information Technology, 6.0 hp
1DT653, Informationsteknologi (datorteknik), Information Technology, 7.5 hp
8DT011, Informationsteknologi (uppdragsutbildning), Information Technology (Contract education), 15.0 hp
1MD117, Informationsteknologi och etik, Information Technology and Ethics, 7.5 hp
1MD008, Informationsteknologi och etik, Information Technology and Ethics, 7.5 hp
1TD450, Informationsteknologisk baskurs, Information Technology, Basic Course, 7.5 hp
1DL111, Informationsutvinning, Data Mining, 7.5 hp
1DL025, Informationsutvinning, Data Mining, 7.5 hp
1DL105, Informationsutvinning, Data Mining, 6.0 hp
1DL360, Informationsutvinning I, Data Mining I, 5.0 hp
1DL460, Informationsutvinning II, Data Mining II, 5.0 hp
1DL121, Informationsutvinning på Internet, Data Mining and Information Retrieval on the Internet, 7.5 hp
1IT220, Intelligenta användargränssnitt, Intelligent User Interfaces, 7.5 hp
1MD032, Intelligenta interaktiva system, Intelligent Interactive Systems, 5.0 hp
1MD115, Interaktionsdesign, Interaction Design, 7.5 hp
1MD009, Interaktionsdesign, Interaction Design, 7.5 hp
1IT210, Interaktiva grafiska system, Interactive Computer Graphics, 7.5 hp
1MD014, Interaktiva grafiska system, Interactive Computer Graphics, 7.5 hp
1DT092, Internationell mjukvaruutveckling, projekt, Global Software Product Development, 10.0 hp
1DT046, Internationell programutveckling, International Software Development, 7.5 hp
1DT094, Internet of Things, Internet of Things, 5.0 hp
1TD312, Internetprogrammering, Internet Programming, 7.5 hp
1DT027, Introduktion i datavetenskap, Introduction Course in Computer Science, 10.0 hp
1TD780, Introduktion till datoranvändning, Introduction to Computers, 1.5 hp
1RT485, Introduktion till datorbaserade reglersystem, Introduction to Computer Control Systems, 5.0 hp
1DT051, Introduktion till informationsteknologi, Information Technology, 10.0 hp
1DT086, Introduktion till studier i inbyggda system, Introduction to Studies in Embedded Systems, 5.0 hp
1DL119, Introduktionskurs i datavetenskap, Introduction to Computer Science, 4.5 hp
8TD292, Java och internetprogrammering, Java and Internet Programming, 15.0 hp
1MD013, Kognitiv psykologi, Cognitive Psychology, 5.0 hp
1MD123, Kognitiv psykologi, Cognitive Psychology, 7.5 hp
1MD010, Kognitiv psykologi, Cognitive Psychology, 7.5 hp
1DL108, Kolmogorov-komplexitet och tillämpningar, Kolmogorov Complexity and Applications, 7.5 hp
